character,decomposition,etymology,radical,matches
⺀,？,null,⺀,"[null,null]"
⺈,？,null,⺈,"[null,null]"
⺊,⿰丨？,"{type: ideographic, hint: A crack on an oracle bone; compare 卜}",⺊,"[[0],null]"
⺌,？,null,⺌,"[null,null,null]"
⺍,？,null,⺍,"[null,null,null]"
⺗,？,null,⺗,"[null,null,null,null]"
⺮,？,"{type: pictographic, hint: Two stalks of bamboo; see 竹}",⺮,"[null,null,null,null,null,null]"
⺳,⿱冖八,null,⺳,"[[0],[0],[1],[1]]"
⺼,？,"{type: pictographic, hint: Meat on the ribs of an animal; compare 肉}",⺼,"[null,null,null,null]"
㐆,⿻尸？,null,尸,"[null,[0],[0],null,[0],null]"
㐌,⿱亻也,"{type: pictophonetic, phonetic: 也, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1]]"
㐬,⿳亠厶川,null,川,"[[0],[0],[1],[1],[2],[2],[2]]"
㐭,⿱亠回,"{type: ideographic, hint: Compare 廩}",亠,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
㐱,⿱人彡,"{type: pictophonetic, phonetic: 人, semantic: 彡, hint: hair}",彡,"[[0],[0],[1],[1],[1]]"
㒸,⿱丷豕,null,豕,"[[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
㒼,⿱廿⿻巾⿰入入,"{type: ideographic, hint: To weights 入 balanced on a scale 巾}",巾,"[[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,1,0],[1,1,0],[1,1,1],[1,1,1]]"
㓞,⿰丰刀,"{type: pictophonetic, semantic: 刀, hint: knife}",刀,"[[0],[0],[0],[0],[1],[1]]"
㔾,？,"{type: pictographic, hint: A rolled-up scroll or kneeling person; compare 卩}",㔾,"[null,null]"
㕡,⿰⿱？谷又,"{type: ideographic, hint: Water flowing through a gorge 谷}",谷,"[null,null,null,null,null,[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[1],[1]]"
㝵,⿱旦寸,"{type: ideographic, hint: A hand 寸 grabbing a shell 旦}",寸,"[[0],[0],[0],[0],[0],[1],[1],[1]]"
㠯,⿻己？,null,己,"[[0],[0],[0],null,null]"
㡭,⿺⿳⿰纟纟一⿰纟纟？,"{type: ideographic, hint: An unbroken thread 纟 from the top to the bottom}",纟,"[[0,0,0],[0,0,0],[0,0,0],[0,0,1],[0,0,1],[0,0,1],[0,1],[0,2,0],[0,2,0],[0,2,0],[0,2,1],[0,2,1],[0,2,1],null]"
㢆,⿸广里,"{type: ideographic, hint: A house 广 in a village 里}",广,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
㢟,⿺廴止,"{type: ideographic, hint: A foot 止 strolling down the road 廴}",廴,"[[1],[1],[1],[0],[0]]"
㣎,⿳白小彡,"{type: ideographic, hint: Seeds 彡 falling off a ripe 白 plant 小}",白,"[[0],[0],[0],[0],[0],[1],[1],[1],[2],[2],[2]]"
㥯,⿱⿳爫工彐心,"{type: pictophonetic, phonetic: 彐, semantic: 心, hint: heart}",心,"[[0,0],[0,0],[0,0],[0,0],[0,1],[0,1],[0,1],[0,2],[0,2],[0,2],[1],[1],[1],[1]]"
㧜,⿰扌匝,"{type: ideographic, hint: To surround 匝 something with a hand 扌}",扌,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
㬎,⿳日⿰幺幺灬,"{type: ideographic, hint: Tiny 幺 motes of dust 灬 in a sunbeam 日}",日,"[[0],[0],[0],[0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[2],[2],[2],[2]]"
㲋,⿳⺈口比,"{type: pictographic, hint: A rabbit looking to the left}",比,"[[0],[0],[1],[1],[1],[2],[2],[2],[2]]"
㳄,⿰氵欠,"{type: pictophonetic, phonetic: 欠, semantic: 氵, hint: water}",氵,"[[0],[0],[0],[1],[1],[1],[1]]"
㼌,⿰瓜瓜,"{type: ideographic, hint: Several melons 瓜 growing}",瓜,"[[0],[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
㿽,⿱兮皿,"{type: pictophonetic, phonetic: 兮, semantic: 皿, hint: dish}",皿,"[[0],[0],[0],[0],[1],[1],[1],[1],[1]]"
䍃,⿱爫缶,"{type: pictographic, hint: Pottery; compare 缶}",缶,"[[0],[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
䕭,⿱艹燅,"{type: pictophonetic, phonetic: 燅, semantic: 艹, hint: grass}",艹,"[[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
䙴,⿳覀大㔾,"{type: pictophonetic, phonetic: 㔾}",覀,"[[0],[0],[0],[0],[0],[0],[1],[1],[1],[2],[2]]"
䜌,⿲糹言糹,"{type: ideographic, hint: A spool 言 bound by thread 糹}",糹,"[[1],[1],[1],[1],[1],[1],[1],[0],[0],[0],[0],[0],[0],[2],[2],[2],[2],[2],[2]]"
䠀,⿰足尚,"{type: pictophonetic, phonetic: 尚, semantic: 足, hint: foot}",足,"[[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
䧹,⿸广倠,"{type: pictophonetic, phonetic: 广, semantic: 隹, hint: bird}",隹,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
䰾,⿰魚巴,"{type: pictophonetic, phonetic: 巴, semantic: 魚, hint: fish}",魚,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1]]"
䴉,⿰睘鳥,"{type: pictophonetic, phonetic: 睘, semantic: 鳥, hint: bird}",鳥,"[[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
一,？,"{type: ideographic, hint: Represents heaven (天), earth (旦), or the number 1}",一,[null]
丁,一,"{type: pictographic, hint: A nail}",一,"[[],null]"
丂,⿱一？,null,一,"[[0],null]"
七,⿻一乚,null,一,"[[0],[1]]"
丄,⿱丨一,"{type: ideographic, hint: One stroke on top of another; variant of 上}",一,"[[0],[1]]"
万,⿱一？,null,一,"[[0],null,null]"
丈,⿻一又,null,一,"[[0],[1],[1]]"
三,⿱一二,"{type: ideographic, hint: Three  parallel lines; compare 一 (one) and 二 (two)}",一,"[[0],[1],[1]]"
上,⿱⺊一,"{type: ideographic, hint: One stroke on top of another; compare 下 (below)}",一,"[[0],[0],[1]]"
下,⿱一卜,"{type: ideographic, hint: One stroke under another; compare 上 (above)}",一,"[[0],[1],[1]]"
丌,⿱一？,"{type: pictographic, hint: A table}",一,"[[0],null,null]"
不,⿱一？,"{type: ideographic, hint: A bird flying toward the sky 一}",一,"[[0],null,null,null]"
与,⿹？一,null,一,"[null,null,[1]]"
丏,⿱一？,null,一,"[[0],null,null,null]"
丐,⿱下？,"{type: pictographic, hint: A person leaning forward to ask for help}",一,"[[0],[0],[0],null]"
丑,⿻刀二,null,一,"[[0],[0],[1],[1]]"
专,⿻？一,null,一,"[null,[1],null,null]"
且,⿱月一,"{type: pictographic, hint: A stone altar}",一,"[[0],[0],[0],[0],[1]]"
丕,⿱不一,null,一,"[[0],[0],[0],[0],[1]]"
世,⿻廿？,"{type: pictographic, hint: Three leaves on a branch}",一,"[[0],[0],[0],[0],null]"
丘,⿱斤一,"{type: pictographic, hint: Two hills}",一,"[[0],[0],[0],[0],[1]]"
丙,⿱一内,null,一,"[[0],[1],[1],[1],[1]]"
业,⿱？一,null,一,"[null,null,null,null,[1]]"
丛,⿱从一,"{type: pictophonetic, phonetic: 从, semantic: 一, hint: one}",一,"[[0],[0],[0],[0],[1]]"
东,⿻七小,"{type: pictographic, hint: Simplified form of 東, the sun 日 rising behind a tree 木}",一,"[[0],[0],[1],[1],[1]]"
丝,⿱⿰？？一,"{type: ideographic, hint: Simplified form of 絲, two threads}",一,"[null,null,null,null,[1]]"
丞,⿱氶一,"{type: pictophonetic, phonetic: 氶, semantic: 一, hint: one}",一,"[[0],[0],[0],[0],[0],[1]]"
丟,⿱王厶,null,一,"[[0],[0],[0],[0],[1],[1]]"
丢,⿱王厶,"{type: ideographic, hint: A lost 厶 jade 玉}",一,"[[0],[0],[0],[0],[1],[1]]"
两,⿱一⿻冂从,"{type: ideographic, hint: Two people 从 together in a cart}",一,"[[0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]]"
严,⿻亚厂,null,一,"[[0],[0],[0],[0],[0],[1],[1]]"
並,⿱丷亚,"{type: ideographic, hint: Two people sitting side-by-side; compare 竝}",一,"[[0],[0],[1],[1],[1],[1],[1],[1]]"
丧,⿱？亡,"{type: pictographic, hint: Simplified form of 喪; to cry 哭 over the dead 亡}",十,"[null,null,null,null,null,[1],[1],[1]]"
丨,？,null,丨,[null]
丩,⿰？丨,null,丨,"[null,[1]]"
个,⿱人丨,"{type: ideographic, hint: A tally 丨 of people 人}",丨,"[[0],[0],[1]]"
丫,⿱丷丨,"{type: ideographic, hint: A forked line 丨}",丨,"[[0],[0],[1]]"
丬,⿰冫丨,null,丬,"[[0],[0],[1]]"
中,⿻口丨,"{type: ideographic, hint: A line 丨 through the center of a box 口}",丨,"[[0],[0],[0],[1]]"
丰,⿻三丨,"{type: pictographic, hint: An ear of grass}",丨,"[[0],[0],[0],[1]]"
丱,⿰丩？,"{type: pictographic, hint: Two braids 丱 of hair}",丨,"[[0],[0],null,null,null]"
串,⿻⿱口口丨,"{type: ideographic, hint: Two objects 口 strung 丨 together}",丨,"[[0,0],[0,0],[0,0],[0,1],[0,1],[0,1],[1]]"
临,⿰⿰？丨？,null,丨,"[null,[0,1],null,null,null,null,null,null,null]"
丵,⿱业⿱丷干,null,丨,"[[0],[0],[0],[0],[0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
丶,？,null,丶,[null]
丷,⿰丶？,null,丷,"[[0],null]"
丸,⿻九丶,"{type: pictographic, hint: A fist 九 holding a pebble 丶}",丶,"[[0],[0],[1]]"
丹,⿻冂亠,"{type: ideographic, hint: A red pellet 丶 from a mine 井}",丶,"[[0],[0],[1],[1]]"
为,⿻丶⿴力丶,null,丶,"[[0],[1,0],[1,0],[1,1]]"
主,⿱丶王,"{type: pictographic, hint: A lamp 王 with a flame 丶}",丶,"[[0],[1],[1],[1],[1]]"
丽,⿱一⿰⿵冂丶⿵冂丶,"{type: ideographic, hint: Simplified form of 麗; the antlers of a deer 鹿}",丶,"[[0],[1,0,0],[1,0,0],[1,0,1],[1,1,0],[1,1,0],[1,1,1]]"
举,⿱兴扌,"{type: pictophonetic, semantic: 扌, hint: hand, phonetic: 舉}",丶,"[[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
丿,？,null,丿,[null]
乂,⿻丿？,"{type: ideographic, hint: Shears, for cultivating a garden}",丿,"[[0],null]"
乃,⿹？丿,"{type: ideographic, hint: A pregnant woman; compare 孕}",丿,"[null,[1]]"
久,⿻勹？,null,丿,"[[0],[0],null]"
乇,⿱丿七,null,丿,"[[0],[1],[1]]"
么,⿱丿厶,null,丿,"[[0],[1],[1]]"
义,⿻丶乂,"{type: pictophonetic, phonetic: 乂, semantic: ⺷, hint: sheep; simplified form of 義}",丿,"[[0],[1],[1]]"
之,⿱丶？,"{type: ideographic, hint: A foot meaning ""to follow""; cursive version of 止}",丿,"[[0],null,null]"
乌,⿱丿？,"{type: pictographic, hint: Simplified form of 烏; a crow; compare 鸟}",丿,"[[0],null,null,null]"
乍,⿸丿⿻下一,null,丿,"[[0],[1,0],[1,0],[1,0],[1,1]]"
乎,⿻丿⿻？丷,null,丿,"[[0],[1,1],[1,1],null,null]"
乏,⿱丿之,"{type: ideographic, hint: A foot 之 running into a wall or barrier 丿}",丿,"[[0],[1],[1],[1]]"
乐,⿻⿱丿？小,"{type: ideographic, hint: Simplified form of 樂, a musical instrument with wood 木, strings 幺, and a pick 白}",丿,"[[0,0],null,[1],[1],[1]]"
乑,⿱丿？,null,丿,"[[0],null,null,null,null,null]"
乒,⿱丘丿,"{type: ideographic, hint: A ball bouncing back and forth; compare 乓}",丿,"[[0],[0],[0],[0],[0],[1]]"
乓,⿱丘丶,"{type: ideographic, hint: A ball bouncing back and forth; compare 乒}",丿,"[[0],[0],[0],[0],[0],[1]]"
乔,⿱夭？,"{type: ideographic, hint: A person 夭 on stilts}",大,"[[0],[0],[0],[0],null,null]"
乖,⿻千北,null,丿,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
乘,⿻禾北,"{type: ideographic, hint: Two feet 北 climbing a beanstalk 禾}",丿,"[[0],[0],[0],[1],[1],[1],[1],[1],[0],[0]]"
乙,？,"{type: pictographic, hint: A swallow}",乙,[null]
乚,？,null,乚,[null]
乛,？,null,乛,[null]
乜,⿻？乚,null,乚,"[null,[1]]"
九,⿻丿乙,"{type: pictographic, hint: An elbow}",乙,"[[0],[1]]"
乞,⿱？乙,null,乙,"[null,null,[1]]"
也,⿻？乚,null,乚,"[null,null,[1]]"
习,⿹？冫,null,冫,"[null,[1],[1]]"
乡,幺,null,幺,"[[],[],[]]"
书,⿻？丨,"{type: ideographic, hint: A mark made by a pen ⺺}",丨,"[null,null,[1],null]"
乩,⿰占乚,"{type: pictophonetic, semantic: 占, hint: divine, phonetic: 乚}",乚,"[[0],[0],[0],[0],[0],[1]]"
买,⿱乛头,null,大,"[[0],[1],[1],[1],[1],[1]]"
乱,⿰舌乚,null,乚,"[[0],[0],[0],[0],[0],[0],[1]]"
乳,⿰孚乚,"{type: pictophonetic, semantic: 乚, hint: hidden, phonetic: 孚}",乚,"[[0],[0],[0],[0],[0],[0],[0],[1]]"
乶,⿱甫乙,"{type: pictophonetic, phonetic: 甫, semantic: 乙, hint: second}",乙,"[[0],[0],[0],[0],[0],[0],[0],[1]]"
乹,⿰龺乚,"{type: ideographic, hint: Heat 乚from the sun 龺; 龺 also provides the pronunciation}",乚,"[[0],[0],[0],[0],[0],[0],[0],[0],[1]]"
乾,⿰龺乞,"{type: ideographic, hint: Rays 十 emanating from the 日; 乞 provides the pronunciation}",乙,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
乿,⿰⿱爫糸乚,null,乚,"[[0,0],[0,0],[0,0],[0,0],[0,1],[0,1],[0,1],[0,1],[0,1],[0,1],[1]]"
亂,⿰⿳爫？⿵冂⿱厶又乚,"{type: ideographic, hint: A kneeling person 乚 using their hands 爫 to unravel a knot}",乚,"[[0,0],[0,0],[0,0],[0,0],null,null,[0,2,0],[0,2,0],[0,2,1,0],[0,2,1,0],[0,2,1,1],[0,2,1,1],[1]]"
亅,？,null,亅,[null]
了,⿱乛亅,"{type: pictographic, hint: A child swaddled in blanklets; compare 子}",亅,"[[0],[1]]"
予,⿱？丁,null,亅,"[null,null,[1],[1]]"
争,⿱⺈⿻彐亅,"{type: ideographic, hint: Simplified form of 爭, two hands 爪 and 彐 fighting over 亅}",亅,"[[0],[0],[1,0],[1,0],[1,0],[1,1]]"
事,⿻⿳一口彐亅,null,亅,"[[0,0],[0,1],[0,1],[0,1],[0,2],[0,2],[0,2],[1]]"
二,⿱一一,"{type: ideographic, hint: Two  parallel lines; compare 一 (one) and 三 (three)}",二,"[[0],[1]]"
亍,⿱一丁,null,二,"[[0],[1],[1]]"
于,⿻二亅,null,二,"[[0],[0],[1]]"
亏,⿱二？,null,二,"[[0],[0],null]"
云,⿱二厶,"{type: pictographic, hint: A cloud}",二,"[[0],[0],[1],[1]]"
互,⿴二？,"{type: ideographic, hint: Two hooks hooking eachother}",二,"[[0],null,null,[0]]"
亓,⿱二？,null,二,"[[0],[0],null,null]"
五,⿴二？,"{type: ideographic, hint: Five elements (the cross with the extra stroke) between heaven 一 and earth 一 }",二,"[[0],null,null,[0]]"
井,⿻二？,"{type: pictographic, hint: A mine or well}",二,"[[0],[0],null,null]"
亘,⿻二日,"{type: ideographic, hint: Stretching from heaven 一 to earth 一 }",二,"[[0],[1],[1],[1],[1],[0]]"
亙,⿻二？,"{type: ideographic, hint: A bridge laid across a river 二}",二,"[[0],null,null,null,null,[0]]"
亚,⿱一业,"{type: pictographic, hint: Picture of a cross-shaped house or temple}",一,"[[0],[1],[1],[1],[1],[1]]"
些,⿱此二,"{type: pictophonetic, phonetic: 此, semantic: 二, hint: two}",二,"[[0],[0],[0],[0],[0],[0],[1],[1]]"
亞,⿻二？,"{type: pictographic, hint: A cross-shaped house or temple}",二,"[[0],null,null,null,null,null,null,[0]]"
亟,⿱⿻了叹一,null,二,"[[0,0],[0,0],[0,1],[0,1],[0,1],[0,1],[0,1],[1]]"
亠,⿱丶一,null,亠,"[[0],[1]]"
亡,⿱亠？,"{type: ideographic, hint: A man 人 in a coffin; see 亾}",亠,"[[0],[0],null]"
亢,⿱亠几,null,亠,"[[0],[0],[1],[1]]"
交,⿱六乂,"{type: ideographic, hint: A person with crossed (intersecting) legs}",亠,"[[0],[0],[0],[0],[1],[1]]"
亥,⿱亠？,null,亠,"[[0],[0],null,null,null,null]"
亦,⿱亠？,"{type: ideographic, hint: A man standing with arrows pointing to his armpits}",亠,"[[0],[0],null,null,null,null]"
产,⿳亠丷厂,"{type: pictophonetic, phonetic: 厂}",亠,"[[0],[0],[1],[1],[2],[2]]"
亨,⿳亠口了,null,亠,"[[0],[0],[1],[1],[1],[2],[2]]"
亩,⿱亠田,"{type: pictophonetic, semantic: 田, hint: field}",亠,"[[0],[0],[1],[1],[1],[1],[1]]"
享,⿳亠口子,"{type: ideographic, hint: Children 子 living and eating 口 in the house 亠}",亠,"[[0],[0],[1],[1],[1],[2],[2],[2]]"
京,⿳亠口小,"{type: pictographic, hint: A capital building on a hill}",亠,"[[0],[0],[1],[1],[1],[2],[2],[2]]"
亭,⿱⿳亠口冖丁,"{type: pictographic, hint: 亠, 口, and 冖 form a picture of a pavilion; 丁 provides the pronunciation}",亠,"[[0,0],[0,0],[0,1],[0,1],[0,1],[0,2],[0,2],[1],[1]]"
亮,⿳亠口⿱冖几,"{type: pictographic, hint: A lit oil lamp}",亠,"[[0],[0],[1],[1],[1],[2,0],[2,0],[2,1],[2,1]]"
亲,⿱立⿻一小,"{type: ideographic, hint: A tree 木 bearing fruit 立}",立,"[[0],[0],[0],[0],[0],[1,0],[1,1],[1,1],[1,1]]"
亳,⿳亠口⿱冖乇,null,亠,"[[0],[0],[1],[1],[1],[2,0],[2,0],[2,1],[2,1],[2,1]]"
亵,⿴衣执,"{type: ideographic, hint: Hands grasping 执 and tearing apart a dress 衣}",亠,"[[0],[0],[1],[1],[1],[1],[1],[1],[0],[0],[0],[0]]"
亶,⿱亠⿱回旦,"{type: pictophonetic, phonetic: 旦}",亠,"[[0],[0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1]]"
亹,⿱亠舋,null,亠,"[[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
人,？,"{type: pictographic, hint: The legs of a human being}",人,"[null,null]"
亻,？,"{type: ideographic, hint: Visual abbreviation of 人}",亻,"[null,null]"
亼,⿱人一,null,人,"[[0],[0],[1]]"
亾,⿺？人,"{type: ideographic, hint: A man 人 in a coffin}",人,"[[1],[1],null]"
亿,⿰亻乙,"{type: pictophonetic, phonetic: 乙, semantic: 亻, hint: people}",亻,"[[0],[0],[1]]"
什,⿰亻十,"{type: ideographic, hint: A file of ten 十 people 亻}",亻,"[[0],[0],[1],[1]]"
仁,⿰亻二,"{type: ideographic, hint: A caring relationship between two 二 people 亻}",亻,"[[0],[0],[1],[1]]"
仂,⿰亻力,"{type: pictophonetic, phonetic: 力}",亻,"[[0],[0],[1],[1]]"
仃,⿰亻丁,"{type: pictophonetic, phonetic: 丁, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1]]"
仄,⿸厂人,"{type: ideographic, hint: A man 人 taking shelter in a lean-to 厂}",人,"[[0],[0],[1],[1]]"
仅,⿰亻又,"{type: pictophonetic, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1]]"
仆,⿰亻卜,"{type: pictophonetic, semantic: 亻, hint: person, phonetic: 卜}",亻,"[[0],[0],[1],[1]]"
仇,⿰亻九,"{type: pictophonetic, semantic: 亻, hint: person, phonetic: 九}",亻,"[[0],[0],[1],[1]]"
仉,⿰亻几,null,亻,"[[0],[0],[1],[1]]"
今,⿱人？,"{type: ideographic, hint: A mouth 亼 talking about things}",人,"[[0],[0],null,null]"
介,⿱人？,"{type: ideographic, hint: A border 八 dividing people 人}",人,"[[0],[0],null,null]"
仌,⿱人人,"{type: ideographic, hint: Old variant of 冰 (""ice-water"")}",人,"[[0],[0],[1],[1]]"
仍,⿰亻乃,"{type: pictophonetic, phonetic: 亻, semantic: 乃, hint: then}",亻,"[[0],[0],[1],[1]]"
从,⿰人人,"{type: ideographic, hint: One person 人 following another}",人,"[[0],[0],[1],[1]]"
仑,⿱人匕,null,人,"[[0],[0],[1],[1]]"
仓,⿱人㔾,"{type: ideographic, hint: Simplified form of 倉; grains 食 kept in storage 口}",人,"[[0],[0],[1],[1]]"
仔,⿰亻子,"{type: ideographic, hint: A person 亻 keeping watch over a child 子; 子 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1]]"
仕,⿰亻士,"{type: pictophonetic, phonetic: 士, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1]]"
他,⿰亻也,"{type: ideographic, hint: An additional, ""also"" 也  person 亻}",亻,"[[0],[0],[1],[1],[1]]"
仗,⿰亻丈,"{type: pictophonetic, phonetic: 丈, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1]]"
付,⿰亻寸,"{type: ideographic, hint: To hand 寸 something over to someone 亻 }",亻,"[[0],[0],[1],[1],[1]]"
仙,⿰亻山,"{type: pictophonetic, phonetic: 山, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1]]"
仝,⿱人工,"{type: pictophonetic, phonetic: 工, semantic: 人, hint: person}",人,"[[0],[0],[1],[1],[1]]"
仞,⿰亻刃,"{type: pictophonetic, phonetic: 刃}",亻,"[[0],[0],[1],[1],[1]]"
仟,⿰亻千,"{type: pictophonetic, phonetic: 千, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1]]"
仡,⿰亻乞,null,亻,"[[0],[0],[1],[1],[1]]"
代,⿰亻弋,"{type: ideographic, hint: A man 亻 caught 弋 by the passing of time}",亻,"[[0],[0],[1],[1],[1]]"
令,⿱人？,"{type: ideographic, hint: A person kneeling before a master 人}",人,"[[0],[0],null,null,null]"
以,⿰？人,null,人,"[null,null,[1],[1]]"
仨,⿰亻三,"{type: pictophonetic, phonetic: 三, semantic: 三, hint: three}",亻,"[[0],[0],[1],[1],[1]]"
仪,⿰亻义,"{type: pictophonetic, phonetic: 义}",亻,"[[0],[0],[1],[1],[1]]"
仫,⿰亻么,"{type: pictophonetic, semantic: 亻, hint: people, phonetic: 么}",亻,"[[0],[0],[1],[1],[1]]"
们,⿰亻门,"{type: pictophonetic, phonetic: 门, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1]]"
仰,⿰亻卬,"{type: ideographic, hint: To exalt 卬 a person 亻}",亻,"[[0],[0],[1],[1],[1],[1]]"
仲,⿰亻中,"{type: ideographic, hint: The middle 中 person 亻; 中 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1]]"
仳,⿰亻比,"{type: pictophonetic, phonetic: 比, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
仵,⿰亻午,"{type: pictophonetic, phonetic: 午, semantic: 亻}",亻,"[[0],[0],[1],[1],[1],[1]]"
件,⿰亻牛,"{type: ideographic, hint: A man 亻 dividing up a cow 牛}",亻,"[[0],[0],[1],[1],[1],[1]]"
价,⿰亻介,"{type: pictophonetic, phonetic: 介}",亻,"[[0],[0],[1],[1],[1],[1]]"
任,⿰亻壬,"{type: pictophonetic, semantic: 亻, hint: person, phonetic: 壬}",亻,"[[0],[0],[1],[1],[1],[1]]"
份,⿰亻分,"{type: ideographic, hint: The lot or portion 分 allotted to a man 亻}",亻,"[[0],[0],[1],[1],[1],[1]]"
仿,⿰亻方,"{type: pictophonetic, phonetic: 方, semantic: 亻, hint: to imitate a person}",亻,"[[0],[0],[1],[1],[1],[1]]"
企,⿱人止,"{type: ideographic, hint: A man 人 on his feet 止; 止 also provides the pronunciation}",人,"[[0],[0],[1],[1],[1],[1]]"
伄,⿰亻弔,"{type: pictophonetic, phonetic: 弔, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
伉,⿰亻亢,"{type: pictophonetic, phonetic: 亢, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
伊,⿰亻尹,"{type: pictophonetic, phonetic: 尹, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
伍,⿰亻五,"{type: ideographic, hint: Five 五 people 亻; 五 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1]]"
伎,⿰亻支,"{type: ideographic, hint: A man 亻 who can support 支 someone}",亻,"[[0],[0],[1],[1],[1],[1]]"
伏,⿰亻犬,"{type: ideographic, hint: A person 亻 acting like a dog 犬}",亻,"[[0],[0],[1],[1],[1],[1]]"
伐,⿰亻戈,"{type: ideographic, hint: A person 亻 attacked 戈}",亻,"[[0],[0],[1],[1],[1],[1]]"
休,⿰亻木,"{type: ideographic, hint: A person 亻 leaning against a tree 木}",亻,"[[0],[0],[1],[1],[1],[1]]"
伕,⿰亻夫,"{type: ideographic, hint: A working 夫 man 亻; 夫 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1]]"
众,⿱人⿰人人,"{type: ideographic, hint: Three people 人 representing a crowd}",人,"[[0],[0],[1,0],[1,0],[1,1],[1,1]]"
优,⿰亻尤,"{type: pictophonetic, phonetic: 尤, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
伙,⿰亻火,"{type: pictophonetic, phonetic: 火, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
会,⿱人云,"{type: ideographic, hint: People 人 speaking 云}",人,"[[0],[0],[1],[1],[1],[1]]"
伛,⿰亻区,"{type: ideographic, hint: A person 亻 forced into a box 区}",亻,"[[0],[0],[1],[1],[1],[1]]"
伞,⿱人？,"{type: pictographic, hint: An umbrella}",人,"[[0],[0],null,null,null,null]"
伟,⿰亻韦,"{type: pictophonetic, phonetic: 韦, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
传,⿰亻专,"{type: pictophonetic, phonetic: 专, semantic: 亻, hint: people}",亻,"[[0],[0],[1],[1],[1],[1]]"
伢,⿰亻牙,"{type: pictophonetic, phonetic: 牙, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
伤,⿰亻⿱？力,null,亻,"[[0],[0],null,null,[1,1],[1,1]]"
伥,⿰亻长,"{type: pictophonetic, phonetic: 长, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1]]"
伦,⿰亻仑,"{type: ideographic, hint: The logical order 仑 of human 亻 society; 仑 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1]]"
伧,⿰亻仓,"{type: ideographic, hint: A person 亻 from the farm 仓; 仓 also provides the pronunciation}",亻,"[[0],[0],[1],[1],[1],[1]]"
伪,⿰亻为,"{type: pictophonetic, phonetic: 为, semantic: 亻}",亻,"[[0],[0],[1],[1],[1],[1]]"
伫,⿰亻⿱宀一,null,亻,"[[0],[0],[1,0],[1,0],[1,0],[1,1]]"
伯,⿰亻白,"{type: pictophonetic, phonetic: 白, semantic: 亻, hint: person}",亻,"[[0],[0],[1],[1],[1],[1],[1]]"
