character,decomposition,etymology,radical,matches
宋,⿱宀木,"{type: ideographic, hint: A building 宀 made out of wood 木}",宀,"[[0],[0],[0],[1],[1],[1],[1]]"
完,⿱宀元,"{type: pictophonetic, phonetic: 元, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1]]"
宏,⿱宀厷,"{type: pictophonetic, phonetic: 厷, semantic: 宀, hint: building}",宀,"[[0],[0],[0],[1],[1],[1],[1]]"
宓,⿱宀必,"{type: pictophonetic, phonetic: 必, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
宕,⿱宀石,"{type: ideographic, hint: A tunnel 宀 made in stone 石}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
宗,⿱宀示,"{type: ideographic, hint: An altar 示 to the ancestor spirits found in one's home 宀}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
官,⿱宀㠯,null,宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
宙,⿱宀由,"{type: pictophonetic, phonetic: 由, semantic: 宀, hint: roof - the sky}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
定,⿱宀疋,"{type: ideographic, hint: A person 疋 settling under a roof 宀}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
宛,⿱宀夗,"{type: pictophonetic, phonetic: 夗, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
宜,⿱宀且,"{type: ideographic, hint: A memorial service 且 held in a house 宀}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
宝,⿱宀玉,"{type: ideographic, hint: Jade 玉 kept in one's house 宀}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
实,⿱宀头,null,宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
宠,⿱宀龙,"{type: pictophonetic, phonetic: 龙, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
审,⿱宀申,"{type: pictophonetic, phonetic: 申, semantic: 宀, hint: courtroom}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1]]"
客,⿱宀各,"{type: ideographic, hint: A person 各 welcomed under one's roof 宀; 各 also provides the pronunciation}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
宣,⿱宀亘,"{type: pictographic, hint: A palace, where proclamations are made}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
室,⿱宀至,"{type: pictophonetic, phonetic: 至, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
宥,⿱宀有,"{type: pictophonetic, phonetic: 有, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
宦,⿱宀臣,"{type: ideographic, hint: A minister 臣 in a statehouse 宀}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
宪,⿱宀先,"{type: pictophonetic, phonetic: 先, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
宫,⿱宀吕,"{type: pictophonetic, phonetic: 吕, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1]]"
宮,⿱宀呂,"{type: pictophonetic, phonetic: 呂, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
宰,⿱宀辛,"{type: ideographic, hint: A barracks 宀 where slaves 辛 live}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
害,⿱宀⿱丰口,null,宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1]]"
宴,⿱宀妟,"{type: ideographic, hint: A woman 女 cooking food 日 for a house 宀 banquet}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
宵,⿱宀肖,"{type: pictophonetic, phonetic: 肖, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
家,⿱宀豕,"{type: pictophonetic, phonetic: 豕, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
宸,⿱宀辰,"{type: pictophonetic, phonetic: 辰, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
容,⿱宀谷,"{type: pictophonetic, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
宽,⿱宀苋,"{type: pictophonetic, phonetic: 苋, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
宾,⿱宀兵,"{type: ideographic, hint: A solider 兵 quartered under one's roof 宀}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1]]"
宿,⿱宀佰,"{type: ideographic, hint: A person 亻 sleeping in a bed 百 under a roof 宀}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
寂,⿱宀叔,"{type: pictophonetic, phonetic: 叔, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
寄,⿱宀奇,"{type: pictophonetic, phonetic: 奇, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1]]"
寅,⿱宀⿱⿱一由八,null,宀,"[[0],[0],[0],[1,0,0],[1,0,1],[1,0,1],[1,0,1],[1,0,1],[1,0,1],[1,1],[1,1]]"
密,⿱宓山,"{type: ideographic, hint: A silent 宓 mountain 山; 宓 also provides the pronunciation}",宀,"[[0],[0],[0],[0],[0],[0],[0],[0],[1],[1],[1]]"
寇,⿱宀⿺元攴,"{type: ideographic, hint: Bandits mugging 攴 a person 元 in his home 宀}",宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1]]"
富,⿱宀畐,"{type: pictophonetic, phonetic: 畐, semantic: 宀, hint: roof}",宀,"[[0],[0],[0],[1],[1],[1],[1],[1],[1],[1],[1],[1]]"
寐,⿱宀⿰爿未,"{type: ideographic, hint: A bed 爿 in a house 宀; 未 provides the pronunciation}",宀,"[[0],[0],[0],[1,0],[1,0],[1,0],[1,0],[1,1],[1,1],[1,1],[1,1],[1,1]]"
